timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
8000,8000,-0.00194892,-0.0046995,0.000167359,0.0,0.0,0.0,0.0,0.0
104000,104000,0.000482347,-0.00122993,-0.000614157,0.0,0.0,0.0,0.0,0.0
200000,200000,0.000495739,0.00205938,0.00110465,0.0,0.0,0.0,0.0,0.0
296000,296000,-0.00358418,0.00571697,-0.000165133,0.0,0.0,0.0,0.0,0.0
392000,392000,0.00049926,-0.0039972,0.000563718,0.0,0.0,0.0,0.0,0.0
488000,488000,-0.00300459,0.00350308,-0.00182731,0.0,0.0,0.0,0.0,0.0
584000,584000,-0.000815873,-0.00286699,0.000292875,0.0,0.0,0.0,0.0,0.0
680000,680000,0.000218778,0.0029517,-0.0012302,0.0,0.0,0.0,0.0,0.0
780000,780000,0.00134135,0.00444211,-0.00123896,0.0,0.0,0.0,0.0,0.0
880000,880000,-0.00554455,-0.00410602,-0.00465442,-0.0,0.0,0.0,0.0,-1.0
980000,980000,-0.00103947,0.00366835,-0.00510023,-0.0,0.0,0.0,0.0,-1.0
1080000,1080000,-0.001119,-0.000746567,-0.00481132,-0.0,0.0,0.0,0.0,-1.0
1176000,1176000,0.00350443,-0.00338359,-0.00430941,-0.0,0.0,0.0,0.0,-1.0
1272000,1272000,0.00268684,-0.00107935,-0.00515783,-0.0,0.0,0.0,0.0,-1.0
1372000,1372000,-0.00115581,0.00364931,-0.00265562,-0.0,0.0,0.0,0.0,-1.0
1468000,1468000,0.00418863,0.00381543,-0.00653365,-0.0,0.0,0.0,0.0,-1.0
1564000,1564000,0.00233787,0.00399672,-0.00532332,-0.0,0.0,0.0,0.0,-1.0
1660000,1660000,0.00223721,-0.000200344,-0.00592252,-0.0,0.0,0.0,0.0,-1.0
1756000,1756000,0.00147091,-0.000140581,-0.0041686,-0.0,0.0,0.0,0.0,-1.0
1856000,1856000,0.00316328,-0.00187038,-0.00485158,-0.0,0.0,0.0,0.0,-1.0
1956000,1956000,0.000935804,-0.00147289,-0.00459915,-0.0,0.0,0.0,0.0,-1.0
2052000,2052000,0.00200134,-0.00123681,-0.00416775,-0.0,0.0,0.0,0.0,-1.0
2152000,2152000,0.00337509,-0.000521247,-0.00408449,-0.0,0.0,0.0,0.0,-1.0
2252000,2252000,0.0023328,-0.0020528,-0.00336416,-0.0,0.0,0.0,0.0,-1.0
2352000,2352000,0.00738087,-0.00135752,-0.00477865,-0.0,0.0,0.0,0.0,-1.0
2452000,2452000,-0.00123671,0.000810627,-0.00242293,-0.0,0.0,0.0,0.0,-1.0
2552000,2552000,0.000853994,-0.0015036,-0.0021173,-0.0,0.0,0.0,0.0,-1.0
2648000,2648000,0.00527422,0.00532231,-0.00315895,-0.0,0.0,0.0,0.0,-1.0
2744000,2744000,-0.000794979,0.00108982,-0.00345747,-0.0,0.0,0.0,0.0,-1.0
2844000,2844000,-0.000220703,0.00172993,-0.00554873,-0.0,0.0,0.0,0.0,-1.0
2944000,2944000,0.00244107,0.00159838,-0.00365989,-0.0,0.0,0.0,0.0,-1.0
3040000,3040000,0.0039437,0.00206484,-0.00542496,-0.0,0.0,0.0,0.0,-1.0
3140000,3140000,0.0020062,-0.00296597,-0.00186015,-0.0,0.0,0.0,0.0,-1.0
3240000,3240000,-0.00156818,-0.00268723,-0.0043952,-0.0,0.0,0.0,0.0,-1.0
3340000,3340000,0.00170676,-0.000990143,-0.00383421,-0.0,0.0,0.0,0.0,-1.0
3440000,3440000,0.00143588,-0.00217151,-0.00228867,-0.0,0.0,0.0,0.0,-1.0
3536000,3536000,0.00189489,-0.00500589,-0.0037117,-0.0,0.0,0.0,0.0,-1.0
3632000,3632000,0.00172691,-0.00208781,-0.00291844,-0.0,0.0,0.0,0.0,-1.0
3732000,3732000,-0.00111208,-0.000153153,-0.00428144,-0.0,0.0,0.0,0.0,-1.0
3832000,3832000,0.0029872,0.00448846,-0.0032616,-0.0,0.0,0.0,0.0,-1.0
3928000,3928000,0.00356246,0.00138123,-0.00372701,-0.0,0.0,0.0,0.0,-1.0
4028000,4028000,0.00610675,4.30521e-05,-0.0031394,-0.0,0.0,0.0,0.0,-1.0
