timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
196000,0.0,0.0,0.0
392000,0.0,0.0,0.0
588000,0.0,0.0,0.0
784000,0.0,0.0,0.0
980000,0.0,0.0,0.0
1176000,0.0,0.0,0.0
1372000,0.0,0.0,0.0
1572000,0.0,0.0,0.0
1768000,0.0,0.0,0.0
1964000,0.0,0.0,0.0
2164000,0.0,0.0,0.0
2360000,0.0,0.0,0.0
2560000,0.0,0.0,0.0
2760000,0.0,0.0,0.0
2956000,0.0,0.0,0.0
3156000,0.0,0.0,0.0
3356000,0.0,0.0,0.0
3552000,0.0,0.0,0.0
3752000,0.0,0.0,0.0
3952000,0.0,0.0,0.0
4152000,0.0,0.0,0.0
4352000,0.0,0.0,0.0
4552000,0.0,0.0,0.0
4748000,0.0,0.0,0.0
4948000,0.0,0.0,0.0
5148000,0.0,0.0,0.0
5348000,0.0,0.0,0.0
5548000,0.0,0.0,0.0
5744000,0.0,0.0,0.0
5944000,0.0,0.0,0.0
6144000,0.0,0.0,0.0
6344000,0.0,0.0,0.0
6544000,0.0,0.0,0.0
6744000,0.0,0.0,0.0
6944000,0.0,0.0,0.0
7140000,0.0,0.0,0.0
7336000,0.0,0.0,0.0
7532000,0.0,0.0,0.0
7732000,0.0,0.0,0.0
7932000,0.0,0.0,0.0
8132000,0.0,0.0,0.0
8328000,0.0,0.0,0.0
8524000,0.0,0.0,0.0
8720000,0.0,0.0,0.0
8916000,0.0,0.0,0.0
9116000,0.0,0.0,0.0
9316000,0.0,0.0,0.0
9512000,0.0,0.0,0.0
9708000,0.0,0.0,0.0
9904000,0.0,0.0,0.0
10100000,0.0,0.0,0.0
10296000,0.0,0.0,0.0
10496000,0.0,0.0,0.0
10696000,0.0,0.0,0.0
10896000,0.0,0.0,0.0
11096000,0.0,0.0,0.0
11292000,0.0,0.0,0.0
11488000,0.0,0.0,0.0
11684000,0.0,0.0,0.0
11880000,0.0,0.0,0.0
12076000,0.0,0.0,0.0
12276000,0.0,0.0,0.0
12472000,0.0,0.0,0.0
12672000,0.0,0.0,0.0
12872000,0.0,0.0,0.0
13072000,0.0,0.0,0.0
13268000,0.0,0.0,0.0
13464000,0.0,0.0,0.0
13660000,0.0,0.0,0.0
13860000,0.0,0.0,0.0
14060000,0.0,0.0,0.0
14256000,0.0,0.0,0.0
14456000,0.0,0.0,0.0
14656000,0.0,0.0,0.0
14856000,0.0,0.0,0.0
15056000,0.0,0.0,0.0
15256000,0.0,0.0,0.0
15452000,0.0,0.0,0.0
15652000,0.0,0.0,0.0
15852000,0.0,0.0,0.0
16052000,0.0,0.0,0.0
16252000,0.0,0.0,0.0
16448000,0.0,0.0,0.0
16644000,0.0,0.0,0.0
16844000,0.0,0.0,0.0
17044000,0.0,0.0,0.0
17244000,0.0,0.0,0.0
17440000,0.0,0.0,0.0
17640000,0.0,0.0,0.0
17840000,0.0,0.0,0.0
18036000,0.0,0.0,0.0
18236000,0.0,0.0,0.0
18436000,0.0,0.0,0.0
18636000,0.0,0.0,0.0
18832000,0.0,0.0,0.0
19032000,0.0,0.0,0.0
19232000,0.0,0.0,0.0
19432000,0.0,0.0,0.0
19632000,0.0,0.0,0.0
19832000,0.0,0.0,0.0
20028000,0.0,0.0,0.0
20228000,0.0,0.0,0.0
20428000,0.0,0.0,0.0
20624000,0.0,0.0,0.0
20824000,0.0,0.0,0.0
21024000,0.0,0.0,0.0
21224000,0.0,0.0,0.0
21424000,0.0,0.0,0.0
21624000,0.0,0.0,0.0
21820000,0.0,0.0,0.0
22020000,0.0,0.0,0.0
22220000,0.0,0.0,0.0
22416000,0.0,0.0,0.0
22616000,0.0,0.0,0.0
22816000,0.0,0.0,0.0
23012000,0.0,0.0,0.0
23212000,0.0,0.0,0.0
23408000,0.0,0.0,0.0
23608000,0.0,0.0,0.0
23808000,0.0,0.0,0.0
24004000,0.0,0.0,0.0
24204000,0.0,0.0,0.0
24404000,0.0,0.0,0.0
24604000,0.0,0.0,0.0
24804000,0.0,0.0,0.0
25000000,0.0,0.0,0.0
25200000,0.0,0.0,0.0
25396000,0.0,0.0,0.0
25596000,0.0,0.0,0.0
25796000,0.0,0.0,0.0
25996000,0.0,0.0,0.0
26196000,0.0,0.0,0.0
26396000,0.0,0.0,0.0
26592000,0.0,0.0,0.0
26788000,0.0,0.0,0.0
26988000,0.0,0.0,0.0
27188000,0.0,0.0,0.0
27388000,0.0,0.0,0.0
27584000,0.0,0.0,0.0
27784000,0.0,0.0,0.0
27980000,0.0,0.0,0.0
28180000,0.0,0.0,0.0
28380000,0.0,0.0,0.0
28580000,0.0,0.0,0.0
28780000,0.0,0.0,0.0
28980000,0.0,0.0,0.0
29180000,0.0,0.0,0.0
29376000,0.0,0.0,0.0
29572000,0.0,0.0,0.0
29772000,0.0,0.0,0.0
29972000,0.0,0.0,0.0
30172000,0.0,0.0,0.0
30372000,0.0,0.0,0.0
30572000,0.0,0.0,0.0
30772000,0.0,0.0,0.0
30972000,0.0,0.0,0.0
31172000,0.0,0.0,0.0
31372000,0.0,0.0,0.0
31572000,0.0,0.0,0.0
31772000,0.0,0.0,0.0
31968000,0.0,0.0,0.0
32168000,0.0,0.0,0.0
32368000,0.0,0.0,0.0
32568000,0.0,0.0,0.0
32768000,0.0,0.0,0.0
32968000,0.0,0.0,0.0
33164000,0.0,0.0,0.0
33360000,0.0,0.0,0.0
33560000,0.0,0.0,0.0
33756000,0.0,0.0,0.0
33956000,0.0,0.0,0.0
34156000,0.0,0.0,0.0
34356000,0.0,0.0,0.0
34556000,0.0,0.0,0.0
34752000,0.0,0.0,0.0
34952000,0.0,0.0,0.0
35148000,0.0,0.0,0.0
35348000,0.0,0.0,0.0
35548000,0.0,0.0,0.0
35748000,0.0,0.0,0.0
35948000,0.0,0.0,0.0
36148000,0.0,0.0,0.0
36344000,0.0,0.0,0.0
36540000,0.0,0.0,0.0
36740000,0.0,0.0,0.0
36940000,0.0,0.0,0.0
37136000,0.0,0.0,0.0
37332000,0.0,0.0,0.0
37528000,0.0,0.0,0.0
37728000,0.0,0.0,0.0
37928000,0.0,0.0,0.0
38124000,0.0,0.0,0.0
38324000,0.0,0.0,0.0
38524000,0.0,0.0,0.0
38720000,0.0,0.0,0.0
38916000,0.0,0.0,0.0
39116000,0.0,0.0,0.0
39312000,0.0,0.0,0.0
39512000,0.0,0.0,0.0
39708000,0.0,0.0,0.0
39908000,0.0,0.0,0.0
40104000,0.0,0.0,0.0
40300000,0.0,0.0,0.0
40496000,0.0,0.0,0.0
40692000,0.0,0.0,0.0
40892000,0.0,0.0,0.0
41092000,0.0,0.0,0.0
41292000,0.0,0.0,0.0
41492000,0.0,0.0,0.0
41692000,0.0,0.0,0.0
41892000,0.0,0.0,0.0
42092000,0.0,0.0,0.0
42288000,0.0,0.0,0.0
42488000,0.0,0.0,0.0
42688000,0.0,0.0,0.0
42884000,0.0,0.0,0.0
43084000,0.0,0.0,0.0
43284000,0.0,0.0,0.0
43484000,0.0,0.0,0.0
43684000,0.0,0.0,0.0
43884000,0.0,0.0,0.0
44080000,0.0,0.0,0.0
44276000,0.0,0.0,0.0
44472000,0.0,0.0,0.0
44672000,0.0,0.0,0.0
44872000,0.0,0.0,0.0
45072000,0.0,0.0,0.0
45272000,0.0,0.0,0.0
45472000,0.0,0.0,0.0
45672000,0.0,0.0,0.0
45868000,0.0,0.0,0.0
46068000,0.0,0.0,0.0
46268000,0.0,0.0,0.0
46464000,0.0,0.0,0.0
46664000,0.0,0.0,0.0
46860000,0.0,0.0,0.0
47060000,0.0,0.0,0.0
47256000,0.0,0.0,0.0
47456000,0.0,0.0,0.0
47652000,0.0,0.0,0.0
47852000,0.0,0.0,0.0
48052000,0.0,0.0,0.0
