timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
96000,487.91,0.0,95600.2,1.13589
104000,488.122,0.0,95597.8,1.13586
108000,488.136,0.0,95597.6,1.13586
112000,487.882,0.0,95600.5,1.13589
116000,488.112,0.0,95597.9,1.13586
120000,488.098,0.0,95598.1,1.13586
124000,488.131,0.0,95597.7,1.13586
128000,488.145,0.0,95597.5,1.13586
132000,488.164,0.0,95597.3,1.13585
140000,488.201,0.0,95596.9,1.13585
144000,488.051,0.0,95598.6,1.13587
148000,488.065,0.0,95598.4,1.13587
156000,488.201,0.0,95596.9,1.13585
160000,488.042,0.0,95598.7,1.13587
168000,488.112,0.0,95597.9,1.13586
176000,487.995,0.0,95599.2,1.13588
184000,488.15,0.0,95597.5,1.13586
188000,488.032,0.0,95598.8,1.13587
192000,488.192,0.0,95597.0,1.13585
196000,487.981,0.0,95599.4,1.13588
200000,488.089,0.0,95598.2,1.13586
204000,487.962,0.0,95599.6,1.13588
212000,488.14,0.0,95597.6,1.13586
216000,487.901,0.0,95600.3,1.13589
220000,488.154,0.0,95597.4,1.13586
224000,488.253,0.0,95596.3,1.13584
228000,488.131,0.0,95597.7,1.13586
232000,488.075,0.0,95598.3,1.13587
236000,488.201,0.0,95596.9,1.13585
244000,488.051,0.0,95598.6,1.13587
248000,488.051,0.0,95598.6,1.13587
252000,488.131,0.0,95597.7,1.13586
256000,488.136,0.0,95597.7,1.13586
260000,488.145,0.0,95597.5,1.13586
264000,487.976,0.0,95599.5,1.13588
268000,488.089,0.0,95598.2,1.13586
276000,488.201,0.0,95596.9,1.13585
280000,488.061,0.0,95598.5,1.13587
284000,488.333,0.0,95595.4,1.13583
292000,488.164,0.0,95597.3,1.13585
296000,488.009,0.0,95599.1,1.13588
300000,487.985,0.0,95599.3,1.13588
308000,488.117,0.0,95597.9,1.13586
312000,488.07,0.0,95598.4,1.13587
320000,488.117,0.0,95597.8,1.13586
324000,488.07,0.0,95598.4,1.13587
332000,488.239,0.0,95596.5,1.13584
336000,488.173,0.0,95597.2,1.13585
340000,488.061,0.0,95598.5,1.13587
344000,488.145,0.0,95597.5,1.13586
348000,488.154,0.0,95597.5,1.13586
352000,488.253,0.0,95596.3,1.13584
356000,488.061,0.0,95598.5,1.13587
364000,488.37,0.0,95595.0,1.13583
372000,487.971,0.0,95599.5,1.13588
376000,488.145,0.0,95597.5,1.13586
380000,487.934,0.0,95599.9,1.13589
384000,488.046,0.0,95598.6,1.13587
388000,488.136,0.0,95597.6,1.13586
392000,488.126,0.0,95597.8,1.13586
396000,487.971,0.0,95599.5,1.13588
400000,488.136,0.0,95597.6,1.13586
404000,488.108,0.0,95598.0,1.13586
412000,488.079,0.0,95598.2,1.13587
416000,488.117,0.0,95597.8,1.13586
420000,488.23,0.0,95596.6,1.13585
424000,487.948,0.0,95599.8,1.13588
432000,488.117,0.0,95597.9,1.13586
