timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
1260000,0.999993,0.000135495,0.000367305,0.00367266,0.000191619,-0.000330451,0.0114175,3.79658e-05,-9.11296e-05,0.00292881,-3.6092e-11,-2.19533e-11,-2.12963e-08,7.95515e-09,-1.07641e-08,-1.8366e-06,0.898598,0.0402343,1.0,0.0,0.0,0.0,0.0,0.0,1.20457e-09,3.95687e-05,0.0002224,8.59239e-09,3.05892e-05,3.05891e-05,0.000780558,0.657625,0.657625,0.542921,0.0480874,0.0480874,0.220293,6.40022e-09,6.40022e-09,6.39543e-09,2.55928e-06,2.55928e-06,2.55951e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.310121,0.469353,0.000547039,0.0,1.81408e-06,0.00151965,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
1452000,0.999994,-2.09118e-05,0.000474769,0.00351689,-0.00128281,0.00144451,0.0140816,-2.28517e-05,5.17364e-05,0.0125546,-1.18447e-10,-9.32412e-11,-1.13461e-08,1.78995e-08,-2.13463e-08,-2.44181e-06,0.898598,0.0402343,1.0,0.0,0.0,0.0,0.0,0.0,1.12558e-09,4.00667e-05,0.000219341,6.15403e-09,3.60414e-05,3.60412e-05,0.00059754,0.233792,0.233792,0.503165,0.0329117,0.0329117,0.186557,6.40012e-09,6.40012e-09,6.3878e-09,2.55638e-06,2.55638e-06,2.55727e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.256561,0.431923,0.00218841,0.0,8.43336e-07,0.00152018,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
1644000,0.999994,0.0001233,0.000587104,0.00344878,-0.0040292,0.00130275,0.0144713,-0.00029148,0.000271731,0.0181424,1.14026e-09,9.74278e-10,-5.02709e-08,-7.45967e-08,8.67531e-08,-2.65258e-06,0.898598,0.0402343,1.0,0.0,0.0,0.0,0.0,0.0,1.0476e-09,3.89898e-05,0.000208829,4.50384e-09,4.33048e-05,4.33047e-05,0.000485833,0.113911,0.113911,0.443124,0.025025,0.025025,0.178657,6.39909e-09,6.39909e-09,6.37494e-09,2.54734e-06,2.54734e-06,2.55107e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.223719,0.422679,0.00243979,0.0,6.14528e-06,0.00372555,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
1836000,0.999993,1.55911e-05,0.000575502,0.00373107,-0.00492204,0.00223088,-0.000813005,-0.000709099,0.000367645,0.00336854,5.31275e-09,7.82692e-09,-1.23396e-07,-5.6313e-07,3.78636e-07,3.60699e-06,0.898598,0.0402343,1.0,0.0,0.0,0.0,0.0,0.0,1.09941e-09,4.00392e-05,0.000209957,4.14953e-09,5.23186e-05,5.23186e-05,0.000411198,0.0710501,0.0710501,0.374579,0.020463,0.020463,0.177476,6.39501e-09,6.39501e-09,6.35573e-09,2.52602e-06,2.52602e-06,2.53908e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.202302,0.42128,6.12585e-05,0.0,1.48007e-05,0.0094779,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
2028000,0.999993,-3.09242e-05,0.000600097,0.00364917,-0.00713528,0.00353236,0.00357586,-0.00129799,0.00050435,0.00808981,1.31348e-08,2.62889e-08,-1.13872e-07,-1.66559e-06,8.48552e-07,1.74422e-06,0.898598,0.0402343,1.0,0.0,0.0,0.0,0.0,0.0,1.10007e-09,4.08023e-05,0.000224389,3.55704e-09,6.2988e-05,6.2988e-05,0.000364179,0.0572132,0.0572132,0.317174,0.0189385,0.0189385,0.183671,6.38477e-09,6.38477e-09,6.33244e-09,2.48903e-06,2.48903e-06,2.52254e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.19462,0.428569,0.00237727,0.0,2.46282e-05,0.00133348,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
2220000,0.999993,-0.000185315,0.000589221,0.00377369,-0.00775955,0.00201908,0.000528306,-0.00173424,0.000679632,0.00612697,3.2485e-08,7.38283e-08,-1.93249e-07,-4.09433e-06,1.83017e-06,3.24751e-06,0.898598,0.0402343,1.0,0.0,0.0,0.0,0.0,0.0,1.25013e-09,4.15626e-05,0.000217385,3.26792e-09,7.49723e-05,7.49722e-05,0.000324134,0.0513604,0.0513604,0.259995,0.0168917,0.0168917,0.178847,6.35726e-09,6.35726e-09,6.29832e-09,2.41722e-06,2.41722e-06,2.49681e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.183803,0.422904,0.00258275,0.0,3.45842e-05,0.000877242,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
2412000,0.999993,-0.000310357,0.000746458,0.00353863,-0.00674253,-0.000703926,0.00624719,-0.00200597,0.000512874,0.0124714,6.19438e-08,1.58591e-07,-1.13455e-07,-7.82717e-06,3.13931e-06,-6.84036e-07,0.898598,0.0402343,1.0,0.0,0.0,0.0,0.0,0.0,1.31023e-09,4.26941e-05,0.000212184,2.73364e-09,8.78362e-05,8.78361e-05,0.000294006,0.0511436,0.0511436,0.215156,0.0157842,0.0157842,0.172092,6.30083e-09,6.30083e-09,6.25508e-09,2.30765e-06,2.30764e-06,2.46365e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.177675,0.41484,0.00149062,0.0,4.02704e-05,0.003282,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
2604000,0.999993,-0.000381438,0.000789412,0.00358332,-0.0101977,-0.00204233,0.00137412,-0.00247318,9.99261e-05,0.00905721,7.99262e-08,2.96599e-07,-2.05222e-07,-1.31124e-05,3.83488e-06,2.98455e-06,0.898598,0.0402343,1.0,0.0,0.0,0.0,0.0,0.0,1.31801e-09,4.29108e-05,0.000212328,2.54234e-09,0.000100881,0.000100881,0.000270917,0.052805,0.0528051,0.181499,0.0152626,0.0152627,0.164192,6.19921e-09,6.19921e-09,6.20168e-09,2.15845e-06,2.15845e-06,2.42219e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.174715,0.405206,0.00143704,0.0,5.10462e-05,0.00212779,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
2796000,0.999993,-0.000412676,0.000859299,0.00370822,-0.00994359,-0.00420314,-0.00155005,-0.00286134,-0.000378987,0.00544866,6.93623e-08,5.08174e-07,-1.75141e-07,-2.01827e-05,3.49541e-06,5.88876e-06,0.898598,0.0402343,1.0,0.0,0.0,0.0,0.0,0.0,1.41176e-09,4.4614e-05,0.000224957,2.7158e-09,0.000113429,0.000113429,0.0002559,0.0542635,0.0542636,0.157261,0.0151082,0.0151082,0.156234,6.04311e-09,6.04311e-09,6.14521e-09,1.98382e-06,1.98382e-06,2.37201e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.173829,0.395265,0.00592716,0.0,5.90399e-05,0.0137343,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
2988000,0.999993,-0.000286353,0.000721491,0.0035555,-0.0131116,-0.00756925,-0.000488371,-0.00348658,-0.00106448,0.00546317,1.6157e-08,7.54876e-07,-9.12246e-08,-2.74032e-05,1.95164e-06,6.17801e-06,0.898598,0.0402343,1.0,0.0,0.0,0.0,0.0,0.0,1.45565e-09,4.38853e-05,0.000221974,2.43478e-09,0.000125814,0.000125814,0.000241642,0.0566596,0.0566597,0.143867,0.0161036,0.0161036,0.154695,5.85887e-09,5.85887e-09,6.07133e-09,1.82549e-06,1.82549e-06,2.31952e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.179464,0.393313,0.00494778,0.0,6.77181e-05,0.00589448,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
