timestamp,ignore_thrust,ignore_attitude,ignore_bodyrate_x,ignore_bodyrate_y,ignore_bodyrate_z,ignore_position,ignore_velocity,ignore_acceleration_force,ignore_alt_hold
64848000,0,0,1,1,1,1,0,1,1
71556000,0,0,1,1,1,1,0,1,1
71568000,0,0,1,1,1,0,1,1,0
71624000,0,0,1,1,1,0,1,1,0
71676000,0,0,1,1,1,0,1,1,0
71724000,0,0,1,1,1,0,1,1,0
71776000,0,0,1,1,1,0,1,1,0
71824000,0,0,1,1,1,0,1,1,0
71876000,0,0,1,1,1,0,1,1,0
71928000,0,0,1,1,1,0,1,1,0
71976000,0,0,1,1,1,0,1,1,0
72028000,0,0,1,1,1,0,1,1,0
72068000,0,0,1,1,1,0,1,1,0
72120000,0,0,1,1,1,0,1,1,0
72168000,0,0,1,1,1,0,1,1,0
72220000,0,0,1,1,1,0,1,1,0
72272000,0,0,1,1,1,0,1,1,0
72320000,0,0,1,1,1,0,1,1,0
72372000,0,0,1,1,1,0,1,1,0
72420000,0,0,1,1,1,0,1,1,0
72472000,0,0,1,1,1,0,1,1,0
72524000,0,0,1,1,1,0,1,1,0
72572000,0,0,1,1,1,0,1,1,0
72624000,0,0,1,1,1,0,1,1,0
72676000,0,0,1,1,1,0,1,1,0
72724000,0,0,1,1,1,0,1,1,0
72776000,0,0,1,1,1,0,1,1,0
72828000,0,0,1,1,1,0,1,1,0
72876000,0,0,1,1,1,0,1,1,0
72928000,0,0,1,1,1,0,1,1,0
72968000,0,0,1,1,1,0,1,1,0
73020000,0,0,1,1,1,0,1,1,0
73068000,0,0,1,1,1,0,1,1,0
73120000,0,0,1,1,1,0,1,1,0
73172000,0,0,1,1,1,0,1,1,0
73220000,0,0,1,1,1,0,1,1,0
73272000,0,0,1,1,1,0,1,1,0
73320000,0,0,1,1,1,0,1,1,0
73372000,0,0,1,1,1,0,1,1,0
73424000,0,0,1,1,1,0,1,1,0
73472000,0,0,1,1,1,0,1,1,0
73524000,0,0,1,1,1,0,1,1,0
73576000,0,0,1,1,1,0,1,1,0
73624000,0,0,1,1,1,0,1,1,0
73676000,0,0,1,1,1,0,1,1,0
73728000,0,0,1,1,1,0,1,1,0
73776000,0,0,1,1,1,0,1,1,0
73828000,0,0,1,1,1,0,1,1,0
73868000,0,0,1,1,1,0,1,1,0
73920000,0,0,1,1,1,0,1,1,0
73968000,0,0,1,1,1,0,1,1,0
74020000,0,0,1,1,1,0,1,1,0
74068000,0,0,1,1,1,0,1,1,0
74120000,0,0,1,1,1,0,1,1,0
74172000,0,0,1,1,1,0,1,1,0
74220000,0,0,1,1,1,0,1,1,0
74272000,0,0,1,1,1,0,1,1,0
74324000,0,0,1,1,1,0,1,1,0
74372000,0,0,1,1,1,0,1,1,0
74424000,0,0,1,1,1,0,1,1,0
74476000,0,0,1,1,1,0,1,1,0
74524000,0,0,1,1,1,0,1,1,0
74576000,0,0,1,1,1,0,1,1,0
74624000,0,0,1,1,1,0,1,1,0
74676000,0,0,1,1,1,0,1,1,0
74728000,0,0,1,1,1,0,1,1,0
74776000,0,0,1,1,1,0,1,1,0
74816000,0,0,1,1,1,0,1,1,0
74868000,0,0,1,1,1,0,1,1,0
74920000,0,0,1,1,1,0,1,1,0
74968000,0,0,1,1,1,0,1,1,0
75020000,0,0,1,1,1,0,1,1,0
75072000,0,0,1,1,1,0,1,1,0
75120000,0,0,1,1,1,0,1,1,0
75172000,0,0,1,1,1,0,1,1,0
75224000,0,0,1,1,1,0,1,1,0
75272000,0,0,1,1,1,0,1,1,0
75324000,0,0,1,1,1,0,1,1,0
75372000,0,0,1,1,1,0,1,1,0
75424000,0,0,1,1,1,0,1,1,0
75476000,0,0,1,1,1,0,1,1,0
75524000,0,0,1,1,1,0,1,1,0
75576000,0,0,1,1,1,0,1,1,0
75628000,0,0,1,1,1,0,1,1,0
75676000,0,0,1,1,1,0,1,1,0
75728000,0,0,1,1,1,0,1,1,0
75768000,0,0,1,1,1,0,1,1,0
75820000,0,0,1,1,1,0,1,1,0
75868000,0,0,1,1,1,0,1,1,0
75920000,0,0,1,1,1,0,1,1,0
75972000,0,0,1,1,1,0,1,1,0
76020000,0,0,1,1,1,0,1,1,0
76072000,0,0,1,1,1,0,1,1,0
76120000,0,0,1,1,1,0,1,1,0
76172000,0,0,1,1,1,0,1,1,0
76224000,0,0,1,1,1,0,1,1,0
76272000,0,0,1,1,1,0,1,1,0
76324000,0,0,1,1,1,0,1,1,0
76376000,0,0,1,1,1,0,1,1,0
76424000,0,0,1,1,1,0,1,1,0
76476000,0,0,1,1,1,0,1,1,0
76528000,0,0,1,1,1,0,1,1,0
76576000,0,0,1,1,1,0,1,1,0
