timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1312000,0.0065,0.00250002,0.00550232,0.999994,4.45047e-05,0.000476086,0.00353101,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1340000,0.001,0.000500006,0.0105025,0.999994,3.76372e-05,0.000465419,0.00353771,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1368000,-0.00749999,-0.00249999,-0.000497781,0.999994,0.000104223,0.00050403,0.00355986,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1396000,0.00200001,-0.0015,-0.00199819,0.999994,7.73196e-05,0.000570349,0.00346097,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1424000,-0.00299998,-0.00299999,-0.00299784,0.999994,3.24193e-05,0.000560641,0.00343276,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1452000,0.011,0.0105,-0.00799857,0.999994,7.6204e-05,0.000564282,0.00337721,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1480000,-0.00299999,-0.00400003,0.00949976,0.999994,0.000119745,0.000580968,0.00337891,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1508000,0.001,-0.000999998,-0.000999171,0.999994,0.000130018,0.000619597,0.00338297,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1536000,0.00549998,0.00300003,0.00900236,0.999994,0.000107133,0.000668157,0.00345736,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1568000,0.00849998,-0.00699999,-0.00999691,0.999994,0.000186467,0.000598092,0.00343951,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1596000,-0.00250005,-0.00350003,0.00400237,0.999994,0.000112655,0.000544577,0.00348892,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1624000,-0.00300011,0.00299992,-0.00249476,0.999994,8.36301e-05,0.000519266,0.00348445,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1652000,-0.00850013,0.00199986,0.00450631,0.999994,5.9362e-05,0.000549007,0.00351282,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1680000,0.00499981,-0.00150019,-0.0079935,0.999994,-3.19524e-05,0.000575543,0.00352754,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1712000,0.000999713,0.00399972,-0.00348877,0.999994,5.20013e-07,0.000635523,0.00351404,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1740000,-0.00100032,0.000999631,0.00401324,0.999994,3.42313e-05,0.000625538,0.00347327,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1768000,0.00699962,0.0104996,0.00701439,0.999993,2.68747e-05,0.000655419,0.00357244,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1800000,-5.20325e-07,0.00449935,0.00901516,0.999993,-3.51708e-05,0.000582087,0.003647,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1832000,0.00149943,0.00799919,-0.0104846,0.999993,2.12727e-05,0.000626175,0.00358678,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1860000,-0.00300067,0.011499,-0.000984575,0.999994,-2.79773e-05,0.000603885,0.00355547,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1888000,0.00199913,0.00949863,0.00551457,0.999994,-0.000112368,0.000624451,0.0035328,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1916000,0.00949902,-0.0100016,-0.00848489,0.999994,-0.00013368,0.000620205,0.00349561,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1944000,0.00149888,0.00749812,0.0110133,0.999993,-0.000112097,0.000674095,0.00358995,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
1976000,0.00899866,-2.50833e-06,-0.00598752,0.999993,-0.00010547,0.000688833,0.00359688,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2004000,-0.00350148,-0.0180029,0.00751561,0.999993,-0.00019564,0.00065121,0.00357031,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2032000,0.00349837,-0.00450329,0.00351422,0.999993,-0.000190871,0.000651895,0.00365043,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2060000,-0.010002,-0.0100042,1.56095e-05,0.999993,-0.000219858,0.000570363,0.0036578,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2088000,-0.0110023,0.00399519,-0.00448162,0.999993,-0.000228347,0.000622836,0.00367309,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2116000,0.0129975,0.000994531,1.70344e-05,0.999994,-0.000186043,0.000705381,0.00354869,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2144000,-0.00250304,-0.00450678,0.0140187,0.999993,-0.00016124,0.000670808,0.00356989,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2176000,-0.00150335,-0.00200754,-0.0134789,0.999993,-0.000244581,0.00065162,0.00358458,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2204000,-0.00700368,0.00649168,-0.0039776,0.999994,-0.000348409,0.000758357,0.003512,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2232000,0.00249557,0.00198985,0.00252471,0.999994,-0.000286805,0.000751589,0.00352898,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2260000,0.0129952,-0.00801114,0.0115237,0.999993,-0.000296308,0.000766439,0.00356687,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2288000,0.00349478,0.00948777,-0.00847361,0.999993,-0.000246973,0.000813383,0.00359131,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2316000,-0.0115056,-0.00301329,0.00202277,0.999993,-0.000317562,0.000826742,0.00362097,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2344000,0.0039935,0.000484314,-0.00497799,0.999993,-0.000299084,0.000803278,0.00362727,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2376000,0.000493048,-1.70494e-05,0.0130175,0.999993,-0.000249859,0.000828567,0.00369947,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2404000,-0.00250737,-0.0155184,-0.00148466,0.999993,-0.000322627,0.000841435,0.00367404,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2436000,-0.00700811,0.00797869,0.0110137,0.999993,-0.000374501,0.000824887,0.00356028,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2468000,-0.00150847,0.00447702,-0.000986482,0.999993,-0.000400365,0.000853338,0.0036733,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2496000,-0.00750905,0.00247359,0.00751655,0.999992,-0.000440277,0.000918799,0.00378922,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2524000,-0.0010093,-0.00302831,2.18244e-05,0.999992,-0.000412011,0.000920325,0.00384481,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2552000,-0.00600958,-0.00403036,-0.0129764,0.999992,-0.000420994,0.000964492,0.00380443,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2580000,-0.00700969,0.00846756,-0.00147741,0.999993,-0.000435742,0.000937357,0.00371624,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2608000,0.000990039,0.00196293,-0.00947435,0.999993,-0.000384379,0.000905253,0.0036999,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2636000,0.01449,-0.00853962,0.00252446,0.999993,-0.000355041,0.000897866,0.0037201,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2664000,0.00498993,0.00395779,-0.00548303,0.999993,-0.000420732,0.000893782,0.00367074,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
2692000,0.00498992,0.000455099,-0.00898778,0.999993,-0.00046043,0.000900544,0.00359267,0.999994,-2.36809e-06,-1.16761e-06,0.00345395,1
