timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1332000,0,0.0,0.0,9.63248e-05,-0.000240543,-0.0113192,-8.71213e-07,-1.84043e-06,0.0,-0.00170696,0.00117795,0.0049658,0.000616228,-0.000217803,-0.000460107,0.0,0.0183465,-0.00966798,-0.0130329,0.00701198,0.0,0.123496,-0.0049658,0.272493,0.442884,0.889407,0.726364,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
1428000,0,0.0,0.0,-0.000123998,4.09138e-05,-0.00295282,-8.71213e-07,-1.84043e-06,0.0,-0.00296648,0.00230734,0.00727893,0.010456,-0.000217803,-0.000460107,0.0,-0.0460166,0.0241812,-0.0355169,0.00687039,0.0,0.114458,-0.00727893,0.259632,0.433172,0.717878,0.713181,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
1524000,0,0.0,0.0,-0.000541743,0.000308592,0.00404492,-8.71213e-07,-1.84043e-06,0.0,-0.0045847,0.00193717,0.010051,0.0184135,-0.000217803,-0.000460107,0.0,-0.0130786,0.0254441,0.0160905,0.00686213,0.0,0.113707,-0.010051,0.24821,0.430355,0.598477,0.696771,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
1620000,0,0.0,0.0,-0.00103818,0.000585615,0.0113762,-8.71213e-07,-1.84043e-06,0.0,-0.00587203,0.00223202,0.0143117,0.0273293,-0.000217803,-0.000460107,0.0,0.00533294,0.0183209,0.0155438,0.00697728,0.0,0.108078,-0.0143117,0.22572,0.422001,0.493628,0.671151,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
1716000,0,0.0,0.0,-0.00160169,0.000846243,0.0143478,-8.71213e-07,-1.84043e-06,0.0,-0.00692047,0.00251935,0.0155127,0.0279207,-0.000217803,-0.000460107,0.0,-0.0272412,-0.0110423,0.0975616,0.00701626,0.0,0.1,-0.0155127,0.21853,0.425468,0.43654,0.648901,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
1812000,0,0.0,0.0,-0.00222434,0.0010347,0.0148485,-8.71213e-07,-1.84043e-06,0.0,-0.00794505,0.00278378,0.0126695,0.0224127,-0.000217803,-0.000460107,0.0,0.00490423,-0.00504092,-0.0230754,0.00726242,0.0,0.1,-0.0126695,0.203454,0.420209,0.384468,0.618109,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
1908000,0,0.0,0.0,-0.00288833,0.00128486,0.0135649,-8.71213e-07,-1.84043e-06,0.0,-0.00935178,0.00323677,0.00904555,0.0153147,-0.000217803,-0.000460107,0.0,0.0388689,-0.00469245,0.0352915,0.00705009,0.0,0.1,-0.00904555,0.198998,0.42426,0.358177,0.593547,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2004000,0,0.0,0.0,-0.00343683,0.00152211,0.0134877,-8.71213e-07,-1.84043e-06,0.0,-0.00987396,0.0036595,0.00650724,0.0114664,-0.000217803,-0.000460107,0.0,-0.133518,-0.0128436,-0.00394229,0.00714039,0.0,0.1,-0.00650724,0.195422,0.42783,0.341335,0.569223,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2100000,0,0.0,0.0,-0.00401173,0.00167675,0.0127968,-8.71213e-07,-1.84043e-06,0.0,-0.00955138,0.0031363,0.00506434,0.0085295,-0.000217803,-0.000460107,0.0,0.0160863,-0.0132118,-0.028071,0.00728523,0.0,0.1,-0.00506434,0.185824,0.420875,0.324345,0.537941,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2196000,0,0.0,0.0,-0.00443765,0.00169149,0.0119945,-8.71213e-07,-1.84043e-06,0.0,-0.0103526,0.00143384,0.00486336,0.00698473,-0.000217803,-0.000460107,0.0,-0.0164878,-0.0243029,-0.0657001,0.00707664,0.0,0.1,-0.00486336,0.184151,0.422649,0.320812,0.515386,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
