timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
24000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
516000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
1008000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
1500000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
1992000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2484000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2976000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
3468000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
3960000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
4452000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
4944000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
5436000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
5928000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
6420000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
6912000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
7404000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
7896000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
8388000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
8880000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
9372000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
9864000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
10356000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
10848000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
11340000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
11832000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
12324000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
12816000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
13308000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
13800000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14292000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14784000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
15276000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
15768000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
16260000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
16752000,12.15,12.15,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
17244000,12.1408,12.1488,-1.0,-1.0,0.0,0.0,0.999259,1.0001,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
17736000,12.1272,12.1436,-1.0,-1.0,0.0,0.0,0.996108,1.00053,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
18228000,12.1137,12.1356,-1.0,-1.0,0.0,0.0,0.991251,1.00119,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
18720000,12.1002,12.1257,-1.0,-1.0,0.0,0.0,0.985266,1.002,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
19212000,12.0866,12.1146,-1.0,-1.0,0.0,0.0,0.978533,1.00292,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
19704000,12.0731,12.1027,-1.0,-1.0,0.0,0.0,0.971303,1.00391,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
20196000,12.0596,12.0902,-1.0,-1.0,0.0,0.0,0.963746,1.00495,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
20688000,12.0461,12.0774,-1.0,-1.0,0.0,0.0,0.955971,1.00602,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
21180000,12.0325,12.0643,-1.0,-1.0,0.0,0.0,0.948053,1.0071,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
21672000,12.019,12.0511,-1.0,-1.0,0.0,0.0,0.940041,1.00821,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
22164000,12.0055,12.0377,-1.0,-1.0,0.0,0.0,0.931965,1.00933,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
22656000,11.9919,12.0243,-1.0,-1.0,0.0,0.0,0.923846,1.01045,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
23148000,11.9784,12.0109,-1.0,-1.0,0.0,0.0,0.915701,1.01158,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
23640000,11.9649,11.9974,-1.0,-1.0,0.0,0.0,0.907538,1.01272,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
24132000,11.9513,11.9839,-1.0,-1.0,0.0,0.0,0.899361,1.01386,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
24624000,11.9378,11.9704,-1.0,-1.0,0.0,0.0,0.891175,1.015,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
25116000,11.9243,11.9569,-1.0,-1.0,0.0,0.0,0.882986,1.01615,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
25608000,11.9108,11.9434,-1.0,-1.0,0.0,0.0,0.874793,1.0173,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26100000,11.8972,11.9299,-1.0,-1.0,0.0,0.0,0.866598,1.01845,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26592000,11.8837,11.9164,-1.0,-1.0,0.0,0.0,0.8584,1.01961,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
27084000,11.8702,11.9028,-1.0,-1.0,0.0,0.0,0.850202,1.02077,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
27576000,11.8566,11.8893,-1.0,-1.0,0.0,0.0,0.842004,1.02193,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
28068000,11.8431,11.8758,-1.0,-1.0,0.0,0.0,0.833805,1.02309,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
28560000,11.8296,11.8622,-1.0,-1.0,0.0,0.0,0.825605,1.02426,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
29052000,11.816,11.8487,-1.0,-1.0,0.0,0.0,0.817406,1.02543,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
29544000,11.8025,11.8352,-1.0,-1.0,0.0,0.0,0.809206,1.0266,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
30036000,11.789,11.8217,-1.0,-1.0,0.0,0.0,0.801006,1.02777,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
30528000,11.7755,11.8081,-1.0,-1.0,0.0,0.0,0.792806,1.02895,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
31020000,11.7619,11.7946,-1.0,-1.0,0.0,0.0,0.784606,1.03013,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
31512000,11.7484,11.7811,-1.0,-1.0,0.0,0.0,0.776405,1.03132,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
32004000,11.7349,11.7675,-1.0,-1.0,0.0,0.0,0.768206,1.0325,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
32496000,11.7213,11.754,-1.0,-1.0,0.0,0.0,0.760005,1.03369,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
32988000,11.7078,11.7405,-1.0,-1.0,0.0,0.0,0.751805,1.03488,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
33480000,11.6943,11.7269,-1.0,-1.0,0.0,0.0,0.743606,1.03608,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
33972000,11.6807,11.7134,-1.0,-1.0,0.0,0.0,0.735405,1.03727,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
34464000,11.6672,11.6999,-1.0,-1.0,0.0,0.0,0.727205,1.03847,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
34956000,11.6537,11.6864,-1.0,-1.0,0.0,0.0,0.719006,1.03967,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
35448000,11.6402,11.6728,-1.0,-1.0,0.0,0.0,0.710806,1.04088,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
35940000,11.6266,11.6593,-1.0,-1.0,0.0,0.0,0.702606,1.04209,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
36432000,11.6131,11.6458,-1.0,-1.0,0.0,0.0,0.694407,1.0433,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
36924000,11.5996,11.6322,-1.0,-1.0,0.0,0.0,0.686206,1.04451,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
37416000,11.586,11.6187,-1.0,-1.0,0.0,0.0,0.678006,1.04573,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
37908000,11.5725,11.6052,-1.0,-1.0,0.0,0.0,0.669806,1.04695,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
38400000,11.559,11.5917,-1.0,-1.0,0.0,0.0,0.661606,1.04817,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
38892000,11.5454,11.5781,-1.0,-1.0,0.0,0.0,0.653406,1.04939,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
39384000,11.5319,11.5646,-1.0,-1.0,0.0,0.0,0.645206,1.05062,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
39876000,11.5184,11.5511,-1.0,-1.0,0.0,0.0,0.637006,1.05185,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
40368000,11.5049,11.5375,-1.0,-1.0,0.0,0.0,0.628806,1.05309,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
40860000,11.4913,11.524,-1.0,-1.0,0.0,0.0,0.620606,1.05432,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
41352000,11.4778,11.5105,-1.0,-1.0,0.0,0.0,0.612406,1.05556,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
41844000,11.4643,11.4969,-1.0,-1.0,0.0,0.0,0.604206,1.0568,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
42336000,11.4507,11.4834,-1.0,-1.0,0.0,0.0,0.596006,1.05805,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
42828000,11.4372,11.4699,-1.0,-1.0,0.0,0.0,0.587805,1.0593,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
43320000,11.4237,11.4564,-1.0,-1.0,0.0,0.0,0.579606,1.06055,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
