timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
1000000,0,4e+06,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,37
1248000,244000,4e+06,1.0,0.0,0.0,0.0,190,191,6,0,0,2,0,0,1,1,43
1256000,1252000,4e+06,1.0,0.0,0.0,0.0,190,191,6,0,0,2,0,0,1,1,43
2000000,0,4e+06,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,37
2256000,2252000,4e+06,1.0,2.38048,719.813,0.0,190,191,6,0,0,2,0,0,1,1,43
3000000,0,4e+06,1.0,0.0,395.686,0.0,0,0,0,0,0,0,0,0,0,1,37
3256000,2252000,4e+06,1.0,0.0209163,23.8237,0.0,190,191,6,0,0,2,0,0,1,1,43
4000000,0,4e+06,1.0,0.0,9.72112,0.0,0,0,0,0,0,0,0,0,0,1,37
4256000,3256000,4e+06,1.0,0.0209163,23.6414,0.0,190,191,6,0,0,2,0,0,1,1,43
5000000,0,4e+06,1.0,0.0,9.73705,0.0,0,0,0,0,0,0,0,0,0,1,37
5256000,4256000,4e+06,1.0,0.0209163,23.507,0.0,190,191,6,0,0,2,0,0,1,1,43
5264000,5260000,4e+06,1.0,0.0209163,23.507,0.0,190,191,6,0,0,2,0,0,1,1,43
6000000,0,4e+06,1.0,0.0,9.76095,0.0,0,0,0,0,0,0,0,0,0,1,37
6264000,6260000,4e+06,1.0,0.0209163,23.5827,0.0,190,191,6,0,0,2,0,0,1,1,43
7000000,0,4e+06,1.0,0.0,9.76593,0.0,0,0,0,0,0,0,0,0,0,1,37
7264000,6260000,4e+06,1.0,0.0209163,23.5827,0.0,190,191,6,0,0,2,0,0,1,1,43
8000000,0,4e+06,1.0,0.0,9.76593,0.0,0,0,0,0,0,0,0,0,0,1,37
8264000,7264000,4e+06,1.0,0.0209163,23.5488,0.0,190,191,6,0,0,2,0,0,1,1,43
9000000,0,4e+06,1.0,0.0,9.70119,0.0,0,0,0,0,0,0,0,0,0,1,37
9264000,8264000,4e+06,1.0,0.0209163,23.5528,0.0,190,191,6,0,0,2,0,0,1,1,43
9272000,9268000,4e+06,1.0,0.0209163,23.5528,0.0,190,191,6,0,0,2,0,0,1,1,43
10000000,0,4e+06,1.0,0.0,9.75697,0.0,0,0,0,0,0,0,0,0,0,1,37
10272000,10268000,4e+06,1.0,0.0209163,23.5488,0.0,190,191,6,0,0,2,0,0,1,1,43
11000000,0,4e+06,1.0,0.0,9.76295,0.0,0,0,0,0,0,0,0,0,0,1,37
11272000,10268000,4e+06,1.0,0.0209163,23.5827,0.0,190,191,6,0,0,2,0,0,1,1,43
