timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
1316000,0.0,-0.0,0.00528221,0.0,0.999996,0.0,0.0,0.0026411,0.0,0.0,-0.08,1,0,0,0,0,0
1412000,0.0,-0.0,0.00609705,0.0,0.999995,0.0,0.0,0.00304852,0.0,0.0,-0.08,1,0,0,0,0,0
1508000,0.0,-0.0,0.00622773,0.0,0.999995,0.0,0.0,0.00311386,0.0,0.0,-0.08,1,0,0,0,0,0
1604000,0.0,-0.0,0.00657086,0.0,0.999995,0.0,0.0,0.00328543,0.0,0.0,-0.08,1,0,0,0,0,0
1704000,0.0,-0.0,0.00675862,0.0,0.999994,0.0,0.0,0.0033793,0.0,0.0,-0.08,1,0,0,0,0,0
1800000,0.0,-0.0,0.00703512,0.0,0.999994,0.0,0.0,0.00351755,0.0,0.0,-0.08,1,0,0,0,0,0
1896000,0.0,-0.0,0.007532,0.0,0.999993,0.0,0.0,0.00376599,0.0,0.0,-0.08,1,0,0,0,0,0
1996000,0.0,-0.0,0.00723102,0.0,0.999993,0.0,0.0,0.0036155,0.0,0.0,-0.08,1,0,0,0,0,0
2096000,0.0,-0.0,0.00739796,0.0,0.999993,0.0,0.0,0.00369897,0.0,0.0,-0.08,1,0,0,0,0,0
2196000,0.0,-0.0,0.00727778,0.0,0.999993,0.0,0.0,0.00363888,0.0,0.0,-0.08,1,0,0,0,0,0
2292000,0.0,-0.0,0.00731063,0.0,0.999993,0.0,0.0,0.00365531,0.0,0.0,-0.08,1,0,0,0,0,0
2388000,0.0,-0.0,0.00697935,0.0,0.999994,0.0,0.0,0.00348967,0.0,0.0,-0.08,1,0,0,0,0,0
2488000,0.0,-0.0,0.00688983,0.0,0.999994,0.0,0.0,0.00344491,0.0,0.0,-0.08,1,0,0,0,0,0
2588000,0.0,-0.0,0.00662169,0.0,0.999995,0.0,0.0,0.00331084,0.0,0.0,-0.08,1,0,0,0,0,0
2684000,0.0,-0.0,0.00694625,0.0,0.999994,0.0,0.0,0.00347312,0.0,0.0,-0.08,1,0,0,0,0,0
2776000,0.0,-0.0,0.007037,0.0,0.999994,0.0,0.0,0.00351849,0.0,0.0,-0.08,1,0,0,0,0,0
