timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
15876000,47.3977419545,8.54559398304,488.01,0.009552,-0.0,0.00599207,0.0205939,-0.00138266,0.00830709,2.30105,2.40124,0.0,2,0,0,0
16068000,47.3977419485,8.54559403069,488.008,0.00772095,-0.0,0.00521541,0.0249328,0.00162932,0.0084012,2.30127,2.40164,0.0,2,0,0,0
16260000,47.3977419481,8.54559406797,488.005,0.0050354,-0.0,0.00479357,0.0266457,0.00237096,0.008749,2.30047,2.40165,0.0,2,0,0,0
16460000,47.397741954,8.54559408095,488.004,0.0032959,-0.0,0.00290044,0.0270332,0.00176462,0.00860097,2.29997,2.4017,0.0,2,0,0,0
16652000,47.3977419624,8.54559408401,488.004,0.00314331,-0.0,0.00155128,0.0257547,0.00392164,0.00818195,2.29956,2.40165,0.0,2,0,0,0
16844000,47.3977419708,8.54559409633,488.004,0.00292969,-0.0,0.00369351,0.0280214,0.00258522,0.0082673,2.29925,2.40157,0.0,2,0,0,0
17036000,47.3977419808,8.54559411229,488.004,0.00372314,-0.0,0.00449493,0.0296897,0.0036796,0.00829021,2.29902,2.40163,0.0,2,0,0,0
17228000,47.39774199,8.5455941375,488.007,0.00640869,-0.0,0.00908928,0.0299114,0.00178054,0.008713,2.29884,2.40151,0.0,2,0,0,0
17420000,47.3977419897,8.54559417749,488.01,0.00900269,-0.0,0.00977071,0.0293624,0.00396044,0.00858289,2.2987,2.40137,0.0,2,0,0,0
17612000,47.3977419772,8.54559421182,488.01,0.00915527,-0.0,0.00908773,0.0302973,0.00414248,0.00861735,2.29859,2.40123,0.0,2,0,0,0
17804000,47.3977419691,8.54559423284,488.011,0.00976562,-0.0,0.0077192,0.0295666,0.00323578,0.00843037,2.2985,2.40122,0.0,2,0,0,0
17996000,47.3977419687,8.54559424877,488.012,0.0101013,-0.0,0.00869747,0.029168,0.000353987,0.0084169,2.29844,2.40106,0.0,2,0,0,0
18188000,47.3977419669,8.54559425301,488.012,0.0100708,-0.0,0.00822954,0.0265934,0.000499441,0.00873384,2.29838,2.4009,0.0,2,0,0,0
18380000,47.3977419653,8.54559424348,488.012,0.00982666,-0.0,0.00952188,0.0246782,0.00124097,0.0086469,2.29834,2.40089,0.0,2,0,0,0
18572000,47.3977419646,8.5455942468,488.013,0.0108948,-0.0,0.00872348,0.0243441,-0.000107374,0.00858714,2.2983,2.40073,0.0,2,0,0,0
18772000,47.397741955,8.54559423776,488.022,0.0201111,-0.0,0.00432479,0.0165156,-0.143357,0.00870176,2.29833,2.40063,0.0,2,0,0,0
18964000,47.3977419384,8.54559418399,488.075,0.0717163,-0.0,0.00162232,-0.00136825,-0.394608,0.00892739,2.2992,2.40057,0.0,2,0,0,0
19156000,47.3977419196,8.54559410669,488.172,0.16687,-0.0,-0.000726551,-0.00936426,-0.645161,0.00850532,2.29918,2.40044,0.0,2,0,0,0
19348000,47.3977419075,8.54559401986,488.316,0.305511,-0.0,-0.000760127,-0.00818186,-0.90199,0.00798249,2.29916,2.40044,0.0,2,0,0,0
19540000,47.3977419044,8.5455939359,488.507,0.487915,-0.0,0.00153083,-0.00278203,-1.15532,0.00757599,2.29914,2.40032,0.0,2,0,0,0
19732000,47.3977419093,8.54559387157,488.743,0.7117,-0.0,0.00493941,0.00203573,-1.40971,0.00807013,2.29912,2.40021,0.0,2,0,0,0
19924000,47.3977419216,8.5455938095,489.029,0.979156,-0.0,0.00433795,0.00449691,-1.66507,0.00796206,2.29909,2.40012,0.0,2,0,0,0
20116000,47.3977419374,8.54559375509,489.365,1.29517,-0.0,0.00400068,0.0106777,-1.92084,0.00789719,2.29906,2.40016,0.0,2,0,0,0
20308000,47.3977419442,8.54559372434,489.753,1.67349,-0.0,0.001203,0.0146734,-2.17049,0.00770425,2.29902,2.40008,0.0,2,0,0,0
20500000,47.3977419347,8.54559372473,490.192,2.09186,-0.0,0.00172241,0.0203298,-2.41706,0.00347338,2.29896,2.40001,0.0,2,0,0,0
20692000,47.3977419195,8.54559373403,490.67,2.55045,-0.0,0.00446989,0.0232382,-2.46579,0.00627908,2.29884,2.39996,0.0,2,0,0,0
20884000,47.3977419167,8.54559373464,491.128,2.98834,-0.0,0.00704113,0.0224415,-2.2741,0.00835489,2.29869,2.40003,0.0,2,0,0,0
21076000,47.3977419153,8.54559374662,491.558,3.39774,-0.0,0.00577564,0.0213117,-2.11306,0.00975277,2.29853,2.39999,0.0,2,0,0,0
21268000,47.3977419205,8.54559376328,491.964,3.78394,-0.0,0.00594261,0.0211601,-1.97041,0.00984758,2.29928,2.40004,0.0,2,0,0,0
21468000,47.3977419368,8.54559379064,492.36,4.15988,-0.0,0.00497656,0.02067,-1.84906,0.00834803,2.29926,2.40006,0.0,2,0,0,0
21660000,47.3977419449,8.54559380664,492.719,4.49957,-0.0,0.0043305,0.0175432,-1.75747,0.00815386,2.29923,2.40016,0.0,2,0,0,0
21852000,47.3977419421,8.54559381217,493.063,4.82281,-0.0,0.00226277,0.0145383,-1.6887,0.00770122,2.29924,2.40014,0.0,2,0,0,0
22044000,47.3977419318,8.54559381843,493.394,5.13364,-0.0,0.00190864,0.0142767,-1.63782,0.00784527,2.29928,2.40012,0.0,2,0,0,0
22236000,47.3977419182,8.54559382539,493.715,5.43546,-0.0,0.00244397,0.013061,-1.59469,0.00767269,2.29933,2.4001,0.0,2,0,0,0
22428000,47.3977419039,8.5455938415,494.028,5.72809,-0.0,0.00130823,0.014657,-1.56388,0.00811421,2.29938,2.40021,0.0,2,0,0,0
22620000,47.3977418902,8.54559385081,494.332,6.01205,-0.0,0.00263915,0.0101174,-1.54302,0.00844597,2.29941,2.40019,0.0,2,0,0,0
22820000,47.3977418818,8.54559386748,494.645,6.30493,-0.0,0.00421982,0.0120737,-1.53292,0.00873846,2.29952,2.40023,0.0,2,0,0,0
23012000,47.397741883,8.54559388228,494.942,6.59161,-0.0,0.00566039,0.0115348,-1.52646,0.00830761,2.29951,2.40021,0.0,2,0,0,0
23204000,47.3977418889,8.54559388067,495.237,6.86676,-0.0,0.00702149,0.00964106,-1.52282,0.00836158,2.29947,2.40019,0.0,2,0,0,0
23396000,47.3977418922,8.54559387195,495.531,7.14084,-0.0,0.0049551,0.00805529,-1.51595,0.00809883,2.29941,2.4003,0.0,2,0,0,0
23588000,47.3977418935,8.54559384496,495.824,7.41412,-0.0,0.00711848,0.0101829,-1.51517,0.00835169,2.29934,2.40028,0.0,2,0,0,0
23780000,47.3977418996,8.5455938242,496.116,7.68546,-0.0,0.00693865,0.0129599,-1.51307,0.00844845,2.29925,2.40026,0.0,2,0,0,0
23972000,47.39774191,8.54559381841,496.405,7.9549,-0.0,0.00916849,0.0149465,-1.50795,0.00867619,2.29914,2.40023,0.0,2,0,0,0
24164000,47.3977419361,8.54559383675,496.693,8.22311,-0.0,0.0119275,0.0188403,-1.50766,0.00841934,2.30017,2.40043,0.0,2,0,0,0
24356000,47.3977419584,8.54559388602,496.981,8.49063,-0.0,0.00980847,0.0191624,-1.50854,0.00818893,2.30001,2.4004,0.0,2,0,0,0
24556000,47.3977419817,8.54559394325,497.281,8.77127,-0.0,0.00730923,0.0173635,-1.50842,0.00785378,2.29995,2.40043,0.0,2,0,0,0
24756000,47.3977419949,8.54559399255,497.582,9.05151,-0.0,0.00492726,0.0170862,-1.50684,0.00836946,2.29987,2.40045,0.0,2,0,0,0
24948000,47.3977420091,8.54559405996,497.87,9.32001,-0.0,0.0050932,0.0146259,-1.50886,0.00816734,2.2997,2.40041,0.0,2,0,0,0
25140000,47.3977420286,8.54559412859,498.158,9.5874,-0.0,0.0027601,0.0105836,-1.51139,0.00814114,2.29954,2.40038,0.0,2,0,0,0
